ProductID,ProductName,Latest_Hotness,Peak_Hotness,Avg_Hotness,Latest_Trend,Peak_Search,Peak_Views,Demand_Score,Destination,HotelType Short,Region,Agoda Status,Ctrip Status,Revenue,B2B2C RN,Revenue Score,RN Score,Mapping Score,Business Score,Opportunity Score,Agoda Score,Ctrip Score,Revenue Score v2,RN Score v2,Mapping Score v2,Business Score v2,Opportunity Score v2,Opportunity Index,Commercial Rank,Priority,Action,Reason,Workflow Status,Owner,SLA,Business Impact
2000299.0,Morage Hotel Phitsanulok,0.3787046151429379,0.414875762482824,0.3684909665713152,0.5003219571030046,38.0,77.0,34.82,Phitsanulok,KA,North,Mapped,Mapped,1549875.0,469.0,23.93659631,15.7965645,100.0,36.71,18.355,100.0,100.0,23.94,15.8,100,23.67,0.0,27.29,106,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
4914009.0,Hotel Scarlett,0.4357782903356379,0.4407281032862984,0.43773655794090344,0.5102525863864772,26.0,32.0,33.6,Nakhon Si Thammarat,KA,Lower South - West,Mapped,Mapped,1182386.0,821.0,18.26102402,27.65240822,100.0,37.43,18.715,100.0,100.0,18.26,27.65,100,24.15,0.0,27.26,107,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
181635.0,Blue Rabbit Hotel Chanthaburi,0.4587405120263664,0.4834891274684071,0.3729239833218221,0.5025327844261641,56.0,46.0,40.52,Chanthaburi,KA,Upper Isan - East,Mapped,Mapped,1113128.0,336.0,17.19138616,11.31694173,100.0,31.99,15.995,100.0,100.0,17.19,11.32,100,20.1,0.0,27.23,108,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
4854.0,Maple Hotel,0.4349532116035829,0.4426142786305705,0.43823743504516544,0.502098826695334,57.0,58.0,40.13,Bangkok,LT,BKK - Metro - Chon,Mapped,Not Mapped,163359.0,92.0,2.522949632,3.098686426,50.0,12.19,19.425,100.0,0.0,2.52,3.1,50,10.22,5.11,27.17,109,High,Expand to Ctrip,Expand distribution to increase room nights.,To Do,Market Manager,72 Hours,Medium
4932806.0,Grand Sansook Omnoi,0.3911768808302286,0.537925655883648,0.40980416850485796,0.4757169448811361,48.0,71.0,36.54,Samut Sakhon,KA,BKK - Metro - Chon,Mapped,Null,367135.0,241.0,5.670105507,8.117211182,50.0,15.27,18.72,100.0,0.0,5.67,8.12,50,12.58,6.29,27.01,110,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
23375.0,JL Bangkok Hotel,0.3656310878872175,0.4082581226880442,0.3916789720921892,0.5052222282014519,62.0,43.0,37.9,Bangkok,KA,BKK - Metro - Chon,Mapped,Null,299191.0,120.0,4.620762271,4.041764904,50.0,13.52,18.52,100.0,0.0,4.62,4.04,50,11.1,5.55,26.97,111,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
63739.0,Tonwa Resort,0.4015353900256584,0.4113685647174226,0.3992624072715922,0.5052143278605273,64.0,57.0,40.15,Khon Kaen,KA,Upper Isan - East,Mapped,Mapped,1257713.0,193.0,19.42438276,6.500505221,100.0,31.66,15.83,100.0,100.0,19.42,6.5,100,19.69,0.0,26.94,112,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
63315.0,Siva Royal Hotel,0.4118590101208607,0.5319671493208735,0.424016404922416,0.5006921392607394,46.0,31.0,36.23,Phatthalung,KA,Lower South - West,Mapped,Mapped,1397697.0,402.0,21.58632317,13.53991243,100.0,34.86,17.43,100.0,100.0,21.59,13.54,100,22.1,0.0,26.93,113,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
137995.0,Blu Monkey Hub & Hotel Phuket,0.372168316859669,0.5148474058680311,0.3978037073055824,0.5010778673614865,54.0,40.0,36.46,Phuket,KA,Upper South,Mapped,Mapped,997876.0,688.0,15.41140104,23.17278545,100.0,34.66,17.33,100.0,100.0,15.41,23.17,100,21.95,0.0,26.92,114,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
4921060.0,Green View Apartment Sikhio,0.3580582756737452,0.3780279964322109,0.36137799948354904,0.4971653468680028,4.0,129.0,29.1,Nakhonratchasima,LT,Lower Isan - Central,Not mapped,Null,61317.0,13.0,0.946991046,0.4378578646,0.0,0.6,13.47,0.0,0.0,0.95,0.44,0,6.43,6.43,26.92,115,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
