ProductID,Current_Hotness,Peak_Hotness,Avg_Hotness,Current_Trend,Current_Views,Peak_CheckIn_Views,Latest_Snapshot,ProductName,Active_View_Intervals,Modification_Count,Last_Modified_At,Peak_CheckIn_Date,Demand_Score
183062,0.31921758147082957,0.3376898484837336,0.31921758147082957,0.5081022309336081,240.0,64.0,2026-08-17 23:49:11,Laklada Hotel,123,6,2026-08-17 23:33:38,2026-08-19,30.81
183063,0.3528686237139128,0.4023343662954232,0.3528686237139128,0.507893125873954,1229.0,591.0,2026-08-17 14:53:50,Baan Rimnam Resort Banpong,22,1,2026-08-17 00:02:53,2026-08-19,25.76
183064,0.3134993523083961,0.32007171134503837,0.3134993523083961,0.5205958646976321,18.0,12.0,2026-08-17 20:03:57,Thanaphat Place Buriram,12,0,,2026-08-19,23.72
183066,0.29671861328084476,0.29671861328084476,0.29671861328084476,0.5075914056783414,11.0,11.0,2026-08-17 14:53:50,Diary Resort Prathai,11,0,,2026-08-17,22.72
183069,0.39183607304816637,0.42128590233440555,0.39183607304816637,0.5108018059830586,1061.0,342.0,2026-08-17 09:17:22,Holiday Inn Express Bangkok Soi Soonvijai,27,0,,2026-09-14,27.69
183075,0.36999834887812394,0.43742101701943964,0.36999834887812394,0.5106975507587801,2141.0,521.0,2026-08-17 23:03:15,ATM Service Apartment Yala,85,4,2026-08-17 01:30:11,2026-08-20,30.6
183078,0.37948988966052755,0.4044073105945144,0.37948988966052755,0.5091625433740373,507.0,316.0,2026-08-17 21:32:42,The 28th Hotel,59,5,2026-08-17 20:48:25,2026-08-28,29.17
183111,0.42235405962058525,0.4262160284245552,0.42235405962058525,0.5033412334682176,221.0,130.0,2026-08-17 21:03:00,Toh Buk Seng Ayutthaya Hotel,16,2,2026-08-17 19:23:15,2026-08-18,28.0
183113,0.38072111916186935,0.3865870096769134,0.38072111916186935,0.5062532848064282,129.0,97.0,2026-08-17 20:34:23,Zen Garden Resort,21,2,2026-08-17 17:53:13,2026-08-17,26.7
183119,0.372228735973934,0.39747355890341385,0.372228735973934,0.5239831276269823,169.0,32.0,2026-08-17 20:48:25,Inpawa Boutique Hotel Khon Kaen,57,0,,2026-08-28,29.02
183122,0.41917912618609204,0.41917912618609204,0.41917912618609204,0.5068258456282385,184.0,184.0,2026-08-17 11:20:43,Pawa Place Ban Phai By Inpawa,15,5,2026-08-17 11:20:43,2026-08-17,27.88
183135,0.39053016394129497,0.40684769071215027,0.39053016394129497,0.5114052637835873,135.0,98.0,2026-08-17 12:07:21,Baan Klang Suan Resort Chumphon,14,2,2026-08-17 00:31:03,2026-08-17,26.75
183141,0.39471772761021784,0.4368486868101499,0.39471772761021784,0.5009248791383273,117.0,74.0,2026-08-17 20:03:57,Monkham Village Hatyai,11,1,2026-08-17 19:48:55,2026-08-19,26.52
183154,0.405176098848083,0.4091610301424047,0.405176098848083,0.5117440486377665,845.0,316.0,2026-08-17 23:33:38,Easy Hotel 2 Lamphun,48,4,2026-08-17 11:20:43,2026-08-18,29.57
183160,0.4010817653209239,0.42909989088168277,0.4010817653209239,0.5181913100039602,936.0,413.0,2026-08-17 23:49:11,Aisana Hotel Korat,55,2,2026-08-17 19:48:55,2026-08-24,29.99
183166,0.28451827568459487,0.28451827568459487,0.28451827568459487,0.5071209674153159,15.0,15.0,2026-08-17 20:48:25,Baanpandin Resort,7,0,,2026-09-07,21.97
183168,0.2875199331075304,0.2875199331075304,0.2875199331075304,0.5082514135188954,8.0,8.0,2026-08-17 13:07:27,Sby House Ayutthaya,8,0,,2026-08-21,22.18
183170,0.363777487177818,0.363777487177818,0.363777487177818,0.5088595346636278,46.0,46.0,2026-08-17 18:07:58,Chanthaburi Center Hotel,4,0,,2026-08-18,24.99
183176,0.2624600948650513,0.2624600948650513,0.2624600948650513,0.5068400908737437,9.0,9.0,2026-08-17 23:49:11,Piman Inn Grand Hotel Mahasarakham Borabue,9,0,,2026-08-17,21.21
183184,0.34494694783064417,0.34962217749703267,0.34494694783064417,0.5060227757797936,425.0,185.0,2026-08-17 19:48:55,Baan Bangrak Residence,49,1,2026-08-17 18:36:16,2026-08-17,27.08
183186,0.27697388871663375,0.27697388871663375,0.27697388871663375,0.506248127611234,7.0,7.0,2026-08-17 07:14:27,Shinnabhura Historic Boutique Hotel,7,0,,2026-09-07,21.65
183190,0.3802307552698109,0.3970779154236383,0.3802307552698109,0.5137602404597631,4615.0,1577.0,2026-08-17 22:17:37,Rumluek Bangkok,120,2,2026-08-17 20:34:23,2026-08-30,33.48
183196,0.3334015783588387,0.37019360083212033,0.3334015783588387,0.5081295923460876,104.0,24.0,2026-08-17 12:52:22,H2M Residence,96,0,,2026-08-17,29.64
183200,0.3974237472338157,0.40523365159679453,0.3974237472338157,0.5085462688596648,72.0,44.0,2026-08-17 14:53:50,Narai Iyara Palace,10,1,2026-08-17 14:37:20,2026-08-18,26.71
183201,0.4025574606302453,0.4043020006321508,0.4025574606302453,0.5107997514910978,197.0,112.0,2026-08-17 12:52:22,Phimai Paradise Hotel,17,3,2026-08-17 11:37:14,2026-08-17,27.42
183209,0.3915179537722391,0.4141996605238075,0.3915179537722391,0.5115011238635904,1693.0,423.0,2026-08-17 19:33:58,Myrrh Hotel Chanthaburi,74,14,2026-08-17 19:33:58,2026-08-20,30.74
183231,0.39958746895909186,0.39958746895909186,0.39958746895909186,0.5123125184061449,389.0,389.0,2026-08-17 23:33:38,AJ Residence,9,1,2026-08-17 21:32:42,2026-08-24,26.83
183245,0.35687001077116975,0.40159193608186133,0.35687001077116975,0.5207377991312717,190.0,51.0,2026-08-17 20:48:25,Huern Nana Jomsawan,36,0,,2026-08-29,27.0
183250,0.3561012881392418,0.3561012881392418,0.3561012881392418,0.5084484631085544,52.0,52.0,2026-08-17 01:16:32,Phurang Hill Resort Kanchanaburi,5,0,,2026-08-17,24.74
183254,0.36596467207212235,0.38472560038819337,0.36596467207212235,0.5113692605874611,2488.0,2341.0,2026-08-17 23:03:15,MeStyle Garage Hotel Bangkok,67,0,,2026-09-07,29.32
183259,0.2751343200400488,0.27572157320370366,0.2751343200400488,0.5057359907592813,12.0,6.0,2026-08-17 00:31:03,The Ele Hotel Ranong,6,0,,2026-08-23,21.5
183278,0.2831250528777738,0.2831250528777738,0.2831250528777738,0.5070187164166275,13.0,13.0,2026-08-17 07:59:27,Boon Piya Resort Phangnga,7,0,,2026-08-19,21.91
183282,0.266643286687636,0.266643286687636,0.266643286687636,0.506675611708559,3.0,3.0,2026-08-17 17:53:13,99 Park & Resort Pichai,3,0,,2026-08-24,20.99
183307,0.38536919221507615,0.38622109216632255,0.38536919221507615,0.509719806262922,406.0,226.0,2026-08-17 13:37:39,The Canal 304 Hotel & Residence,18,0,,2026-08-19,26.79
