ProductID,ProductName,CheckInDate,booking_count
182835,Nadee 10 Resort & Hotel,"Jul 20, 2026, 12:00:00 AM",3
2000356,Sakura Boutique Hotel Pluakdaeng,"Jul 4, 2026, 12:00:00 AM",5
2012396,Aliz Hotel,"Dec 2, 2026, 12:00:00 AM",1
4918110,101 Hotel Roi Et,"Aug 7, 2026, 12:00:00 AM",1
137995,Blu Monkey Hub & Hotel Phuket,"Aug 30, 2026, 12:00:00 AM",1
5102473,Milton Hotel,"Jul 27, 2026, 12:00:00 AM",2
4867257,Grand PL Hotel,"Sep 15, 2026, 12:00:00 AM",2
182835,Nadee 10 Resort & Hotel,"Aug 28, 2026, 12:00:00 AM",3
4606472,Three Bays Resort,"Jul 28, 2026, 12:00:00 AM",5
182835,Nadee 10 Resort & Hotel,"Oct 26, 2026, 12:00:00 AM",1
4930824,ONE Hotel Navanakorn,"Oct 30, 2026, 12:00:00 AM",2
4854509,Heaven Hotel Chachoengsao,"Nov 21, 2026, 12:00:00 AM",3
1621,Awa Resort Koh Chang,"Nov 17, 2026, 12:00:00 AM",1
4988854,PLAAI Plus Hotel Bowin,"Jul 25, 2026, 12:00:00 AM",1
4921072,The Bedrooms Boutique Hotel Bangkok,"Dec 4, 2026, 12:00:00 AM",1
4930824,ONE Hotel Navanakorn,"Aug 16, 2026, 12:00:00 AM",1
4920363,Hotel MOCO Udon Thani,"Sep 24, 2026, 12:00:00 AM",2
5102574,Chaolao Sea Breeze,"Dec 16, 2026, 12:00:00 AM",1
4988854,PLAAI Plus Hotel Bowin,"Jul 13, 2026, 12:00:00 AM",2
4920669,Nine River Hotel,"Aug 16, 2026, 12:00:00 AM",1
824,Sugar Marina Resort - ART - Karon Beach,"Aug 20, 2026, 12:00:00 AM",1
4922478,Wassana Mansion,"Sep 8, 2026, 12:00:00 AM",3
43888,Kaewsamui Resort,"Dec 4, 2026, 12:00:00 AM",2
43577,Nim See Seng Hotel,"Dec 4, 2026, 12:00:00 AM",1
496,TUI BLUE Maduzi Hotel Bangkok,"Aug 6, 2026, 12:00:00 AM",2
4935227,Nysa Hotel Bangkok,"Jul 29, 2026, 12:00:00 AM",1
25158,The Proud Exclusive Hotel,"Jul 12, 2026, 12:00:00 AM",1
4921072,The Bedrooms Boutique Hotel Bangkok,"Nov 15, 2026, 12:00:00 AM",1
23937,Brique Hotel Chiangmai,"Jul 23, 2026, 12:00:00 AM",1
4920686,Mayuu Ayutthaya Hotel,"Jul 31, 2026, 12:00:00 AM",5
2000369,Bosswin Home Resort,"Aug 22, 2026, 12:00:00 AM",4
4920701,Glory Wabi Sabi Hotel,"Aug 10, 2026, 12:00:00 AM",1
2091,Crystal Hotel Hat Yai,"Aug 28, 2026, 12:00:00 AM",3
65581,Anna Nava Pakkret Hotel,"Nov 14, 2026, 12:00:00 AM",5
183459,Puranakhon Hotel,"Jul 11, 2026, 12:00:00 AM",4
4252831,48 Ville Donmuang Airport,"Aug 7, 2026, 12:00:00 AM",2
63740,Gallery Lake View Hotel,"Jul 16, 2026, 12:00:00 AM",5
1875,First Residence Samui,"Aug 25, 2026, 12:00:00 AM",1
1368,Kosa Hotel Khon Kaen,"Jul 18, 2026, 12:00:00 AM",1
5101761,Journeyhub Sukhumvit 26 Bangkok,"Sep 11, 2026, 12:00:00 AM",2
65628,B2 Korat Boutique & Budget Hotel,"Aug 3, 2026, 12:00:00 AM",1
5101906,Kokotel Rayong Beachfront,"Oct 7, 2026, 12:00:00 AM",1
43629,The Rubber Phuket Hotel,"Jul 24, 2026, 12:00:00 AM",1
4918110,101 Hotel Roi Et,"Jul 11, 2026, 12:00:00 AM",3
4920708,Manhattan Pattaya Hotel,"Jul 11, 2026, 12:00:00 AM",1
63676,Loft Mania Boutique Hotel,"Jul 27, 2026, 12:00:00 AM",5
2052,Kantary Hotel Ayutthaya,"Jul 6, 2026, 12:00:00 AM",1
5101906,Kokotel Rayong Beachfront,"Jul 27, 2026, 12:00:00 AM",3
263,NH Bangkok Sukhumvit Boulevard,"Nov 5, 2026, 12:00:00 AM",1
